pl_name,hostname,sy_dist,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_lum,st_rad,st_mass,st_age,st_spectype,discoverymethod,disc_year,pl_controv_flag
Kepler-567 b,Kepler-567,558.81000000,2.25000000,,16.54297375000,0.1229000000,611.00,5148.00,-0.40926,0.790000,0.840000,4.6800,,Transit,2016,0
11 Com b,11 Com,93.18460000,12.20000000,,323.21000000000,1.1780000000,,4874.00,1.97823,13.760000,2.090000,,G8 III,Radial Velocity,2007,0
HD 180314 b,HD 180314,122.36200000,12.00000000,,394.73000000000,1.4480000000,,4917.00,1.64345,9.200000,2.600000,1.2950,K0,Radial Velocity,2010,0
18 Del b,18 Del,76.22200000,12.50000000,,982.85000000000,2.4760000000,,4980.00,1.63367,8.800000,2.100000,1.1000,G6 III,Radial Velocity,2008,0
LHS 1903 d,LHS 1903,35.69170000,2.50000000,5.96000000000000e+00,12.56628700000,0.0860400000,442.00,3664.00,-1.32451,0.539000,0.538000,7.0800,M,Transit,2026,0
Kepler-888 b,Kepler-888,420.81700000,1.76000000,,70.69790610000,0.3148100000,417.00,5875.00,-0.04319,0.900000,0.970000,1.4800,,Transit,2016,0
4 UMa b,4 UMa,73.46030000,12.60000000,,270.27000000000,0.8770000000,,4415.00,2.06236,18.110000,1.234000,4.6040,K1 III,Radial Velocity,2006,0
6 Lyn b,6 Lyn,54.65990000,13.40000000,,919.86000000000,2.0280000000,,4941.00,1.11860,4.940000,1.320000,2.3530,K0 IV,Radial Velocity,2008,0
HIP 19976 b,HIP 19976,40.27070000,4.94000000,,50.65905000000,0.2340000000,,4316.00,-0.72939,0.772319,0.670000,,,Radial Velocity,2022,0
HD 89744 b,HD 89744,38.63640000,12.60000000,,256.78000000000,0.9170000000,,6291.00,0.79579,2.132570,1.860000,1.8800,F7 V,Radial Velocity,1999,0
Kepler-648 b,Kepler-648,636.03000000,3.22000000,,17.42117490000,0.1332400000,674.00,5741.00,-0.05328,0.980000,1.050000,1.8200,,Transit,2016,0
Kepler-1744 b,Kepler-1744,1091.63000000,3.76754004,,37.10110092000,0.2094500000,532.00,5986.00,-0.09777,0.850000,0.886000,7.7600,,Transit,2021,0
